Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
running,2019-04-01 18:04:18,false,"Montgomery County Running","4.02","447","00:31:08","7:45","5:12","29","23","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.99","6","0.0"
running,2019-03-31 17:07:21,false,"Montgomery County Running","3.69","394","00:25:52","7:01","4:35","15","6","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.78","18","0.0"
running,2019-03-28 14:57:12,false,"Montgomery County Running","2.30","203","00:19:58","8:40","1:34","43","30","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.33","4","0.0"
running,2019-03-27 18:45:03,false,"Montgomery County Running","2.37","254","00:16:43","7:03","4:44","13","3","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:22.80","5","0.0"
running,2019-03-26 09:29:40,false,"Montgomery County Running","2.07","227","00:17:09","8:17","6:29","24","22","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:32.90","3","0.0"
running,2019-03-25 12:00:44,false,"Montgomery County Running","2.44","274","00:21:28","8:47","7:01","23","20","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:41.05","3","0.0"
running,2019-03-22 18:00:32,false,"Montgomery County Running","5.00","558","00:37:07","7:25","5:08","33","34","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.65","6","0.0"
running,2019-03-19 17:58:29,false,"Montgomery County Running","4.01","452","00:34:55","8:43","5:09","34","31","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.03","5","0.0"
running,2019-03-18 11:42:10,false,"Montgomery County Running","4.01","450","00:34:10","8:31","5:12","39","33","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.09","5","0.0"
running,2019-03-17 08:50:06,false,"Montgomery County Running","5.03","566","00:43:03","8:34","5:05","53","44","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:15.93","6","0.0"
running,2019-03-15 15:51:47,false,"Montgomery County Running","4.20","480","00:34:09","8:08","0:46","29","29","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:31.86","5","0.0"
